observation_month,index_dec2024_100
2000-01-01,26.8
2000-02-01,26.6
2000-03-01,27.0
2000-04-01,27.2
2000-05-01,27.4
2000-06-01,27.6
2000-07-01,27.8
2000-08-01,27.9
2000-09-01,28.0
2000-10-01,28.2
2000-11-01,28.2
2000-12-01,28.3
2001-01-01,28.7
2001-02-01,28.7
2001-03-01,28.9
2001-04-01,29.0
2001-05-01,29.1
2001-06-01,29.3
2001-07-01,29.3
2001-08-01,29.2
2001-09-01,29.3
2001-10-01,29.3
2001-11-01,29.5
2001-12-01,29.5
2002-01-01,30.1
2002-02-01,30.4
2002-03-01,30.7
2002-04-01,31.2
2002-05-01,31.4
2002-06-01,31.6
2002-07-01,32.1
2002-08-01,32.2
2002-09-01,32.6
2002-10-01,33.1
2002-11-01,33.2
2002-12-01,33.2
2003-01-01,33.5
2003-02-01,33.5
2003-03-01,33.9
2003-04-01,33.9
2003-05-01,33.9
2003-06-01,33.8
2003-07-01,33.8
2003-08-01,33.9
2003-09-01,33.8
2003-10-01,33.5
2003-11-01,33.3
2003-12-01,33.3
2004-01-01,33.6
2004-02-01,33.8
2004-03-01,34.0
2004-04-01,34.0
2004-05-01,34.0
2004-06-01,34.1
2004-07-01,34.3
2004-08-01,34.3
2004-09-01,34.3
2004-10-01,34.4
2004-11-01,34.5
2004-12-01,34.5
2005-01-01,34.6
2005-02-01,34.6
2005-03-01,35.0
2005-04-01,35.1
2005-05-01,35.1
2005-06-01,35.1
2005-07-01,35.4
2005-08-01,35.6
2005-09-01,35.7
2005-10-01,35.7
2005-11-01,35.7
2005-12-01,35.7
2006-01-01,35.9
2006-02-01,36.0
2006-03-01,36.2
2006-04-01,36.3
2006-05-01,36.5
2006-06-01,36.8
2006-07-01,37.2
2006-08-01,37.5
2006-09-01,37.6
2006-10-01,37.6
2006-11-01,37.6
2006-12-01,37.8
2007-01-01,38.1
2007-02-01,38.1
2007-03-01,38.4
2007-04-01,38.8
2007-05-01,39.1
2007-06-01,39.4
2007-07-01,39.8
2007-08-01,40.0
2007-09-01,40.3
2007-10-01,40.7
2007-11-01,40.8
2007-12-01,41.2
2008-01-01,41.6
2008-02-01,41.8
2008-03-01,42.5
2008-04-01,43.2
2008-05-01,43.7
2008-06-01,44.3
2008-07-01,45.1
2008-08-01,45.5
2008-09-01,45.6
2008-10-01,45.6
2008-11-01,45.6
2008-12-01,45.1
2009-01-01,45.3
2009-02-01,45.7
2009-03-01,46.3
2009-04-01,46.6
2009-05-01,46.8
2009-06-01,47.0
2009-07-01,47.5
2009-08-01,47.6
2009-09-01,47.8
2009-10-01,47.8
2009-11-01,47.8
2009-12-01,48.0
2010-01-01,48.1
2010-02-01,48.4
2010-03-01,48.8
2010-04-01,48.8
2010-05-01,48.9
2010-06-01,48.9
2010-07-01,49.3
2010-08-01,49.3
2010-09-01,49.4
2010-10-01,49.4
2010-11-01,49.5
2010-12-01,49.6
2011-01-01,49.9
2011-02-01,50.1
2011-03-01,50.7
2011-04-01,50.9
2011-05-01,51.2
2011-06-01,51.4
2011-07-01,51.9
2011-08-01,51.9
2011-09-01,52.2
2011-10-01,52.4
2011-11-01,52.5
2011-12-01,52.6
2012-01-01,53.0
2012-02-01,53.2
2012-03-01,53.8
2012-04-01,54.1
2012-05-01,54.1
2012-06-01,54.3
2012-07-01,54.3
2012-08-01,54.5
2012-09-01,55.0
2012-10-01,55.3
2012-11-01,55.5
2012-12-01,55.6
2013-01-01,55.8
2013-02-01,56.3
2013-03-01,57.0
2013-04-01,57.2
2013-05-01,57.0
2013-06-01,57.2
2013-07-01,57.8
2013-08-01,58.0
2013-09-01,58.3
2013-10-01,58.4
2013-11-01,58.5
2013-12-01,58.7
2014-01-01,59.0
2014-02-01,59.7
2014-03-01,60.5
2014-04-01,60.7
2014-05-01,60.8
2014-06-01,61.0
2014-07-01,61.5
2014-08-01,61.8
2014-09-01,61.8
2014-10-01,61.8
2014-11-01,61.8
2014-12-01,61.8
2015-01-01,61.6
2015-02-01,62.0
2015-03-01,62.9
2015-04-01,63.5
2015-05-01,63.7
2015-06-01,63.9
2015-07-01,64.6
2015-08-01,64.6
2015-09-01,64.6
2015-10-01,64.8
2015-11-01,64.8
2015-12-01,64.9
2016-01-01,65.5
2016-02-01,66.3
2016-03-01,66.8
2016-04-01,67.4
2016-05-01,67.5
2016-06-01,67.9
2016-07-01,68.5
2016-08-01,68.4
2016-09-01,68.5
2016-10-01,68.8
2016-11-01,69.1
2016-12-01,69.3
2017-01-01,69.8
2017-02-01,70.5
2017-03-01,71.0
2017-04-01,71.0
2017-05-01,71.2
2017-06-01,71.4
2017-07-01,71.6
2017-08-01,71.7
2017-09-01,72.0
2017-10-01,72.2
2017-11-01,72.3
2017-12-01,72.6
2018-01-01,72.8
2018-02-01,73.4
2018-03-01,73.6
2018-04-01,74.2
2018-05-01,74.3
2018-06-01,74.6
2018-07-01,75.3
2018-08-01,75.2
2018-09-01,75.5
2018-10-01,75.9
2018-11-01,76.0
2018-12-01,75.9
2019-01-01,75.7
2019-02-01,76.3
2019-03-01,77.0
2019-04-01,77.4
2019-05-01,77.7
2019-06-01,78.0
2019-07-01,78.2
2019-08-01,78.5
2019-09-01,78.6
2019-10-01,78.6
2019-11-01,78.7
2019-12-01,78.9
2020-01-01,79.2
2020-02-01,79.9
2020-03-01,80.2
2020-04-01,79.8
