Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Months Code,Months,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F,Y2023,Y2023F,Y2024,Y2024F,Y2025,Y2025F
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7021","Annual value","LCU","227.000000","A","240.000000","A","209.000000","A","296.000000","A","241.000000","A","332.000000","A","326.000000","A","432.000000","A","340.000000","A","415.000000","A","422.000000","A","526.000000","A","636.000000","A","479.000000","A","597.000000","A","708.000000","A","1090.000000","A","924.000000","A","1383.000000","A","1181.000000","A","1276.000000","A","1490.000000","A","1960.000000","A","2002.000000","A","1660.000000","A","1958.000000","A","2098.000000","A","1912.000000","A","2085.000000","A","2427.000000","A","1992.000000","A","2216.000000","A","2737.000000","A","3194.000000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7001","January","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1262.000000","A","1450.000000","A","1354.000000","A","1675.000000","A","2224.000000","A","1888.000000","A","3966.000000","A","2912.000000","A","1847.000000","A","2748.000000","A","2702.900000","A","1777.500000","A","1857.200000","A","3080.000000","A","2314.400000","A","3183.300000","A"
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7002","February","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1355.000000","A","1288.000000","A","1676.000000","A","1982.000000","A","2455.000000","A","2041.000000","A","3865.000000","A","2821.000000","A","1889.000000","A","2620.000000","A","3817.300000","A","2312.700000","A","2487.000000","A","4171.000000","A","2605.900000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7003","March","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1449.000000","A","1513.000000","A","2599.000000","A","2481.000000","A","2109.000000","A","2348.000000","A","3799.000000","A","3372.000000","A","1919.000000","A","3099.000000","A","3151.100000","A","3494.700000","A","2552.100000","A","3935.000000","A","3667.700000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7004","April","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1493.000000","A","1445.000000","A","2317.000000","A","2752.000000","A","2660.000000","A","1978.000000","A","3412.000000","A","3794.000000","A","1742.000000","A","3245.000000","A","3543.700000","A","3589.700000","A","2594.200000","A","3758.000000","A","3885.700000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7005","May","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1269.000000","A","1374.000000","A","1773.000000","A","2389.000000","A","2487.000000","A","1852.000000","A","2288.000000","A","2486.000000","A","2093.000000","A","2241.000000","A","2879.100000","A","3061.000000","A","2705.500000","A","3638.000000","A","3804.500000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7006","June","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1322.000000","A","1510.000000","A","1733.000000","A","2222.000000","A","2217.000000","A","1698.000000","A","1968.000000","A","2386.000000","A","2278.000000","A","2123.000000","A","2733.200000","A","2209.500000","A","2761.500000","A","2512.000000","A","3052.600000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7007","July","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1440.000000","A","1700.000000","A","1472.000000","A","2365.000000","A","2625.000000","A","1471.000000","A","1678.000000","A","2074.000000","A","2365.000000","A","2100.000000","A","3277.800000","A","1942.800000","A","3053.400000","A","2399.000000","A","3227.600000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7008","August","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1435.000000","A","1746.000000","A","1533.000000","A","1833.000000","A","2237.000000","A","1371.000000","A","1671.000000","A","2074.000000","A","2220.000000","A","2193.000000","A","3264.800000","A","1937.600000","A","2809.000000","A","2115.000000","A","3954.500000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7009","September","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1316.000000","A","1468.000000","A","1396.000000","A","1706.000000","A","1900.000000","A","1250.000000","A","1368.000000","A","2056.000000","A","2038.000000","A","1749.000000","A","2736.000000","A","1633.700000","A","2655.900000","A","1978.000000","A","3026.900000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7010","October","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1591.000000","A","1496.000000","A","1612.000000","A","1762.000000","A","2423.000000","A","1850.000000","A","1607.000000","A","2066.000000","A","2380.000000","A","2055.000000","A","2394.300000","A","1898.500000","A","2392.500000","A","2041.000000","A","3071.400000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7011","November","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1341.000000","A","1394.000000","A","1844.000000","A","1965.000000","A","2404.000000","A","2625.000000","A","1744.000000","A","2107.000000","A","2780.000000","A","2604.000000","A","2253.500000","A","2546.700000","A","2270.900000","A","2373.000000","A","2875.200000","A",,
"202","'710","South Africa","358","'01212","Cabbages","5530","Producer Price (LCU/tonne)","7012","December","LCU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1205.000000","A","1259.000000","A","1779.000000","A","1911.000000","A","1997.000000","A","3376.000000","A","1854.000000","A","1958.000000","A","3070.000000","A","2772.000000","A","1703.000000","A","1988.100000","A","2547.100000","A","2311.000000","A","2768.000000","A",,
