crop,item_faostat,year,month_num,month_name,price_lcu_per_tonne,flag
cabbage,Cabbages,2010,1,January,1262,A
cabbage,Cabbages,2011,1,January,1450,A
cabbage,Cabbages,2012,1,January,1354,A
cabbage,Cabbages,2013,1,January,1675,A
cabbage,Cabbages,2014,1,January,2224,A
cabbage,Cabbages,2015,1,January,1888,A
cabbage,Cabbages,2016,1,January,3966,A
cabbage,Cabbages,2017,1,January,2912,A
cabbage,Cabbages,2018,1,January,1847,A
cabbage,Cabbages,2019,1,January,2748,A
cabbage,Cabbages,2020,1,January,2702.9,A
cabbage,Cabbages,2021,1,January,1777.5,A
cabbage,Cabbages,2022,1,January,1857.2,A
cabbage,Cabbages,2023,1,January,3080,A
cabbage,Cabbages,2024,1,January,2314.4,A
cabbage,Cabbages,2025,1,January,3183.3,A
cabbage,Cabbages,2010,2,February,1355,A
cabbage,Cabbages,2011,2,February,1288,A
cabbage,Cabbages,2012,2,February,1676,A
cabbage,Cabbages,2013,2,February,1982,A
cabbage,Cabbages,2014,2,February,2455,A
cabbage,Cabbages,2015,2,February,2041,A
cabbage,Cabbages,2016,2,February,3865,A
cabbage,Cabbages,2017,2,February,2821,A
cabbage,Cabbages,2018,2,February,1889,A
cabbage,Cabbages,2019,2,February,2620,A
cabbage,Cabbages,2020,2,February,3817.3,A
cabbage,Cabbages,2021,2,February,2312.7,A
cabbage,Cabbages,2022,2,February,2487,A
cabbage,Cabbages,2023,2,February,4171,A
cabbage,Cabbages,2024,2,February,2605.9,A
cabbage,Cabbages,2010,3,March,1449,A
cabbage,Cabbages,2011,3,March,1513,A
cabbage,Cabbages,2012,3,March,2599,A
cabbage,Cabbages,2013,3,March,2481,A
cabbage,Cabbages,2014,3,March,2109,A
cabbage,Cabbages,2015,3,March,2348,A
cabbage,Cabbages,2016,3,March,3799,A
cabbage,Cabbages,2017,3,March,3372,A
cabbage,Cabbages,2018,3,March,1919,A
cabbage,Cabbages,2019,3,March,3099,A
cabbage,Cabbages,2020,3,March,3151.1,A
cabbage,Cabbages,2021,3,March,3494.7,A
cabbage,Cabbages,2022,3,March,2552.1,A
cabbage,Cabbages,2023,3,March,3935,A
cabbage,Cabbages,2024,3,March,3667.7,A
cabbage,Cabbages,2010,4,April,1493,A
cabbage,Cabbages,2011,4,April,1445,A
cabbage,Cabbages,2012,4,April,2317,A
cabbage,Cabbages,2013,4,April,2752,A
cabbage,Cabbages,2014,4,April,2660,A
cabbage,Cabbages,2015,4,April,1978,A
cabbage,Cabbages,2016,4,April,3412,A
cabbage,Cabbages,2017,4,April,3794,A
cabbage,Cabbages,2018,4,April,1742,A
cabbage,Cabbages,2019,4,April,3245,A
cabbage,Cabbages,2020,4,April,3543.7,A
cabbage,Cabbages,2021,4,April,3589.7,A
cabbage,Cabbages,2022,4,April,2594.2,A
cabbage,Cabbages,2023,4,April,3758,A
cabbage,Cabbages,2024,4,April,3885.7,A
cabbage,Cabbages,2010,5,May,1269,A
cabbage,Cabbages,2011,5,May,1374,A
cabbage,Cabbages,2012,5,May,1773,A
cabbage,Cabbages,2013,5,May,2389,A
cabbage,Cabbages,2014,5,May,2487,A
cabbage,Cabbages,2015,5,May,1852,A
cabbage,Cabbages,2016,5,May,2288,A
cabbage,Cabbages,2017,5,May,2486,A
cabbage,Cabbages,2018,5,May,2093,A
cabbage,Cabbages,2019,5,May,2241,A
cabbage,Cabbages,2020,5,May,2879.1,A
cabbage,Cabbages,2021,5,May,3061,A
cabbage,Cabbages,2022,5,May,2705.5,A
cabbage,Cabbages,2023,5,May,3638,A
cabbage,Cabbages,2024,5,May,3804.5,A
cabbage,Cabbages,2010,6,June,1322,A
cabbage,Cabbages,2011,6,June,1510,A
cabbage,Cabbages,2012,6,June,1733,A
cabbage,Cabbages,2013,6,June,2222,A
cabbage,Cabbages,2014,6,June,2217,A
cabbage,Cabbages,2015,6,June,1698,A
cabbage,Cabbages,2016,6,June,1968,A
cabbage,Cabbages,2017,6,June,2386,A
cabbage,Cabbages,2018,6,June,2278,A
cabbage,Cabbages,2019,6,June,2123,A
cabbage,Cabbages,2020,6,June,2733.2,A
cabbage,Cabbages,2021,6,June,2209.5,A
cabbage,Cabbages,2022,6,June,2761.5,A
cabbage,Cabbages,2023,6,June,2512,A
cabbage,Cabbages,2024,6,June,3052.6,A
cabbage,Cabbages,2010,7,July,1440,A
cabbage,Cabbages,2011,7,July,1700,A
cabbage,Cabbages,2012,7,July,1472,A
cabbage,Cabbages,2013,7,July,2365,A
cabbage,Cabbages,2014,7,July,2625,A
cabbage,Cabbages,2015,7,July,1471,A
cabbage,Cabbages,2016,7,July,1678,A
cabbage,Cabbages,2017,7,July,2074,A
cabbage,Cabbages,2018,7,July,2365,A
cabbage,Cabbages,2019,7,July,2100,A
cabbage,Cabbages,2020,7,July,3277.8,A
cabbage,Cabbages,2021,7,July,1942.8,A
cabbage,Cabbages,2022,7,July,3053.4,A
cabbage,Cabbages,2023,7,July,2399,A
cabbage,Cabbages,2024,7,July,3227.6,A
cabbage,Cabbages,2010,8,August,1435,A
cabbage,Cabbages,2011,8,August,1746,A
cabbage,Cabbages,2012,8,August,1533,A
cabbage,Cabbages,2013,8,August,1833,A
cabbage,Cabbages,2014,8,August,2237,A
cabbage,Cabbages,2015,8,August,1371,A
cabbage,Cabbages,2016,8,August,1671,A
cabbage,Cabbages,2017,8,August,2074,A
cabbage,Cabbages,2018,8,August,2220,A
cabbage,Cabbages,2019,8,August,2193,A
cabbage,Cabbages,2020,8,August,3264.8,A
cabbage,Cabbages,2021,8,August,1937.6,A
cabbage,Cabbages,2022,8,August,2809,A
cabbage,Cabbages,2023,8,August,2115,A
cabbage,Cabbages,2024,8,August,3954.5,A
cabbage,Cabbages,2010,9,September,1316,A
